id,name,category,type,price,hasAffiliate,tags,shortDesc
chatgpt,ChatGPT,مساعدات ذكية,tool,خطة مجانية، والمدفوع 20$,false,مجاني | محادثة | كتابة | برمجة,المساعد الذكي الأشهر عالمياً للمحادثة والإنتاجية.
midjourney,Midjourney,تصميم وجرافيك,tool,يبدأ من 10$ / شهر,false,توليد صور | فن رقمي | تصميم,توليد صور فنية مذهلة بأوامر نصية بسيطة.
gemini,Google Gemini,مساعدات ذكية,tool,خطة مجانية، والمدفوع 20$,false,مجاني | محادثة | بحث | جوجل,مساعد جوجل الذكي المتصل بخدمات جوجل كاملة.
jasper,Jasper,كتابة وتسويق,tool,يبدأ من 39$ / شهر,true,كتابة | تسويق | إعلانات | SEO,مساعد كتابة قوي للمسوقين وصناع المحتوى.
framer,Framer,برمجة ومواقع,tool,خطة مجانية، والمدفوع يبدأ 15$,true,مواقع | تصميم | لا-كود | مجاني,تصميم وتطوير مواقع احترافية بسرعة مذهلة.
synthesia,Synthesia,صوت وفيديو,tool,يبدأ من 22$ / شهر,true,فيديو | أفاتار | تعليم | عروض,توليد مقاطع فيديو بشخصيات افتراضية واقعية.
notion,Notion,إنتاجية وأعمال,tool,خطة مجانية، والمدفوع 8$,true,مجاني | إدارة مشاريع | ملاحظات | تعاون,مساحة عمل متكاملة مع مساعد ذكي للمهام.
canva,Canva,تصميم وجرافيك,tool,خطة مجانية، والمدفوع 12$,true,مجاني | تصميم | قوالب | سوشيال ميديا,تصميم الجرافيك المدعوم بأدوات توليد الصور.
descript,Descript,صوت وفيديو,tool,خطة مجانية، والمدفوع يبدأ 14$,true,مجاني | مونتاج | بودكاست | يوتيوب,تحرير الصوت والفيديو كأنك تعدل مستند نصي.
surferseo,SurferSEO,كتابة وتسويق,tool,يبدأ من 89$ / شهر,true,SEO | كتابة | تحليل | مقالات,تحسين محركات البحث وكتابة المحتوى المتصدر.
copyai,Copy.ai,كتابة وتسويق,tool,خطة مجانية، والمدفوع 49$,true,مجاني | إعلانات | محتوى | سوشيال,خيارات غير محدودة لكتابة الإعلانات والمنشورات.
writesonic,Writesonic,كتابة وتسويق,tool,خطة مجانية، والمدفوع 19$,true,مجاني | مقالات | SEO | شات بوت,تأليف المقالات الطويلة بدقة وسرعة عالية.
murfai,Murf.ai,صوت وفيديو,tool,خطة مجانية، والمدفوع 29$,true,مجاني | تعليق صوتي | لغات متعددة,تحويل النصوص إلى أصوات بشرية طبيعية باحترافية.
clickup,ClickUp,إنتاجية وأعمال,tool,خطة مجانية، والمدفوع 7$,true,مجاني | إدارة مشاريع | تعاون | أتمتة,تطبيق شامل لإدارة سير العمل بذكاء اصطناعي مدمج.
looka,Looka,تصميم وجرافيك,tool,الدفع لكل شعار، أو اشتراك سنوي,true,شعارات | هوية بصرية | بطاقات عمل,توليد شعارات وتصاميم الهوية التجارية فوراً.
beehiiv,Beehiiv,كتابة وتسويق,tool,خطة مجانية، والمدفوع 39$,true,مجاني | نشرات بريدية | نمو | محتوى,منصة النشرات البريدية الحديثة والنمو السريع.
chatbase,Chatbase,دعم العملاء,tool,خطة مجانية، والمدفوع 19$,true,مجاني | شات بوت | خدمة عملاء | GPT,إنشاء بوت محادثة ذكي مخصص لموقعك ببياناتك.
elevenlabs,ElevenLabs,صوت وفيديو,tool,خطة مجانية، والمدفوع 5$,true,مجاني | استنساخ صوت | عربي | كتب صوتية,توليد الأصوات والاستنساخ الأقرب للواقع.
miro,Miro,إنتاجية وأعمال,tool,خطة مجانية، والمدفوع 8$,true,مجاني | عصف ذهني | تعاون | خرائط ذهنية,لوحتك التعاونية الذكية للعصف الذهني والتنظيم.
pictory,Pictory,صوت وفيديو,tool,خطة مجانية، والمدفوع 23$,true,مجاني | فيديو قصير | تيك توك | يوتيوب,تحويل المقالات إلى مقاطع فيديو تفاعلية للنشر.
leonardoai,Leonardo.ai,تصميم وجرافيك,tool,خطة مجانية، والمدفوع 12$,true,مجاني | توليد صور | فن رقمي | واقعي,توليد الصور الفنية والتصاميم بجودة تنافس الجميع.
grammarly,Grammarly,كتابة وتسويق,tool,خطة مجانية، والمدفوع 12$,true,مجاني | تصحيح | إنجليزي | إضافة متصفح,مصحح النصوص والمساعد الاحترافي بالذكاء التوليدي.
tome,Tome,إنتاجية وأعمال,tool,خطة مجانية، والمدفوع 16$,true,مجاني | عروض | سرد قصصي | تسويق,بناء العروض التقديمية التفاعلية والسرد القصصي آلياً.
invideo,InVideo AI,صوت وفيديو,website,خطة مجانية، والمدفوع يبدأ 20$,true,فيديو | محتوى | تسويق | مونتاج,صناعة فيديو كامل من مجرد مطالبة نصية.
heygen,HeyGen,صوت وفيديو,website,يبدأ من 29$ / شهر,true,أفاتار | فيديو | ترجمة | تسويق,مونتاج وترجمة الفيديوهات بوجوه وأصوات اصطناعية.
runwayml,Runway ML,صوت وفيديو,website,خطة مجانية، والمدفوع 15$,false,مجاني | فيديو | مونتاج | سينما,محرر فيديو ذكاء اصطناعي بخيارات سينمائية.
fliki,Fliki,صوت وفيديو,website,خطة مجانية، والمدفوع 28$,true,مجاني | فيديو | يوتيوب | صوت,تحويل النص إلى فيديوهات مع تعليق صوتي واقعي.
basedlabs,BasedLabs AI,صوت وفيديو,website,خطة مجانية، والمدفوع 15$,true,مجاني | توليد صور | فيديو خيالي,منصة لتوليد صور وفيديوهات إبداعية وخيالية.
lovo,Lovo AI,صوت وفيديو,tool,يبدأ من 29$ / شهر,true,صوت | برودكاست | إعلانات | أصوات طبيعية,منصة توليد صوتيات بلمسة احترافية.
podcastle,Podcastle,صوت وفيديو,website,خطة مجانية، والمدفوع 14$,true,مجاني | بودكاست | تسجيل | مونتاج صوت,أستوديو بودكاست متكامل بالذكاء الاصطناعي.
rytr,Rytr,كتابة وتسويق,website,خطة مجانية، والمدفوع 9$,true,مجاني | كتابة | نصوص متجر | مقالات قصيرة,أداة كتابة تناسب المبتدئين باشتراك اقتصادي.
koala,Koala AI,كتابة وتسويق,website,يبدأ من 9$ / شهر,true,SEO | كتابة مقالات | مدونات,كتابة مقالات جاهزة وعالية الجودة متوافقة مع SEO.
frase,Frase,كتابة وتسويق,website,يبدأ من 15$ / شهر,true,SEO | بحث الكلمات | استراتيجية,كتابة وتحليل محتوى متوافق مع SEO بدقة عالية.
scalenut,Scalenut,كتابة وتسويق,website,يبدأ من 39$ / شهر,true,SEO | تخطيط المحتوى | تسويق,أداة بحث وكتابة لتصدر نتائج محركات البحث.
semrush,Semrush,كتابة وتسويق,website,يبدأ من 130$ / شهر,true,SEO | تحليل منافسين | بناء الروابط | تسويق,المارد الشامل والأكثر موثوقية لمسوقي الإنترنت.
nightcafe,NightCafe,تصميم وجرافيك,website,خطة مجانية عبر نظام النقاط، المدفوع يبدأ 5$,true,مجاني | فن | توليد صور | مجتمع الرقمي,ستوديو فنون ومجتمعات التصميم بالذكاء الاصطناعي.
adcreative,AdCreative,تصميم وجرافيك,website,يبدأ من 21$ / شهر,true,إعلانات | سوشيال ميديا | تسويق | صور,تصميم بانرات إعلانية تحول النقرات إلى مبيعات.
kittl,Kittl,تصميم وجرافيك,website,خطة مجانية، والمدفوع 15$,true,مجاني | شعارات | طباعة | تصميم 벡터,تصميم شعارات وتصاميم للطباعة بضغطة زر.
taskade,Taskade,إنتاجية وأعمال,app,خطة مجانية، والمدفوع 4$,true,مجاني | إدارة مشاريع | تخطيط | تنظيم,مساحة عمل تعاونية تدار بوكلاء الذكاء الاصطناعي.
repurposeio,Repurpose.io,إنتاجية وأعمال,website,يبدأ من 15$ / شهر,true,أتمتة | فيديو | تيك توك | يوتيوب,إعادة نشر الفيديوهات لحساباتك الاجتماعية آلياً.
claude,Claude,مساعدات ذكية,tool,خطة مجانية، والمدفوع 20$,false,مجاني | برمجة | تحليل | نصوص معقدة,المنافس العملاق الشرس، رائع للبرمجة وكتابة النصوص.
perplexity,Perplexity AI,مساعدات ذكية,website,خطة مجانية، والمدفوع 20$,true,مجاني | بحث | أكاديمي | حقائق,محرك بحث بحثي متطور موثق بمصادر الإجابات.
otter,Otter.ai,مساعدات ذكية,app,خطة مجانية، والمدفوع 10$,true,مجاني | تفريغ صوتي | اجتماعات | إنتاجية,تفريغ الاجتماعات وتلخيصها وتحديد مهام العمل منها تلقائيا.
mixo,Mixo.io,برمجة ومواقع,website,يبدأ من 9$ / شهر,true,مواقع هبوط | MVP | برمجة المواقع,أطلق موقع شركتك وموقع هبوطك في دقيقة واحدة.
10web,10Web,برمجة ومواقع,website,يبدأ من 10$ / شهر,true,ووردبريس | استنساخ | استضافة | واجهات,تصميم ووردبريس ومحاكاته سريعاً وآلياً.
getresponse,GetResponse,كتابة وتسويق,website,يبدأ من 19$ / شهر,true,إيميل | أتمتة | تسويق | رد آلي,منصة شاملة للتسويق بالبريد بقوى اصطناعية.
hubspot,HubSpot,كتابة وتسويق,website,خطة مجانية، والمدفوع يبدأ 15$,true,مجاني | CRM | مبيعات | إدارة عملاء,نظام علاقات العملاء وإدارة الزوار الأقوى حول العالم.
cursor,Cursor,برمجة ومواقع,app,خطة مجانية، والمدفوع 20$,false,مجاني | تطوير | برمجة | أكواد,أفضل وأشهر محرر أكواد ذكي يكتب الشيفرات عنك.
v0,v0 by Vercel,برمجة ومواقع,tool,خطة مجانية، والمدفوع 20$,false,مجاني | واجهات | تكويد | رياكت,توليد واجهات استخدام ومكونات رياكت بالمحادثة.
copilot,GitHub Copilot,برمجة ومواقع,tool,رسوم اشتراك 10$ / شهر,false,إضافة | أكواد | مطورين | بيثون,رفيق المبرمج من مايكروسوفت لكتابة الكود لحظيا.
customgpt,CustomGPT.ai,دعم العملاء,website,يبدأ من 99$ / شهر,true,شات بوت | خدمة عملاء | بيانات خاصة الشركات,بوتات محادثة مبنية خصيصاً بمعلومات شركتك الخاصة.
dante,Dante AI,دعم العملاء,website,خطة مجانية، والمدفوع 10$,true,شات بوت | زوار | مواقع هبوط,أنشئ وكيل أعمال يجيب على تساؤلات عملائك لحظيا.
manychat,ManyChat,دعم العملاء,website,خطة مجانية، والمدفوع 15$,true,مجاني | واتساب | انستجرام | بوتات رد,أتمتة وحوش المبيعات على الماسنجر وانستجرام.
vidiq,VidIQ,إنتاجية وأعمال,website,خطة مجانية، والمدفوع 7$,true,مجاني | يوتيوب | سيو مرئي | كلمات مفتاحية,مرشد ومستشار يوتيوب لتحسين المشاهدات.
tripo,Tripo AI,تصميم وجرافيك,website,خطة مجانية، أو باقات شهرية,true,مجاني | ثلاثي أبعاد | توليد 3D | ألعاب,توليد مجسمات 3D مذهلة في ثوان معدودة.
holo,Holo AI,كتابة وتسويق,website,يبدأ من 25$ / شهر,true,أتمتة | سوشيال ميديا | تسويق | إدارة حملات,منصة تسويقية شاملة لصناعة المحتوى التلقائي.
gamma,Gamma App,إنتاجية وأعمال,app,خطة مجانية، والاشتراك بـ 16$,true,مجاني | عروض تقديمية | بوربوينت | تصميم,بناء وتصميم عروض PowerPoint ومواقع مبسطة بسرعة.
trello,Trello AI,إنتاجية وأعمال,website,مجاني للبدء، 5$ للاحترافي,true,إدارة مشاريع | فرق عمل | كانبان,إدارة مشاريع مرنة ولوحات كانبان مزودة بقدرات تحليل ذكية.
slack,Slack AI,إنتاجية وأعمال,app,7.25$ شهرياً للنسخة المدفوعة,true,محادثات | شركات | تلخيص | فرق,تلخيص المحادثات الطويلة ونقاط العمل في منصة تواصل الشركات.
zapier,Zapier,إنتاجية وأعمال,website,خطة مجانية والاحترافي 19.99$,true,مجاني | أتمتة | مبيعات | لا-كود,ربط وأتمتة أكثر من 6000 تطبيق بسهولة تامة.
superhuman,Superhuman AI,إنتاجية وأعمال,app,30$ شهرياً,true,إيميل | صياغة رسائل | إنتاجية قصوى,عميل البريد الأسرع في العالم لمن يقدرون وقتهم.
beautiful_ai,Beautiful.ai,إنتاجية وأعمال,website,12$ شهرياً,true,بوربوينت | تصميم | تقارير,تصميم عروض تقديمية تتكيف ألوانها وصورها في ثواني.
steve_ai,Steve AI,صوت وفيديو,website,خطة مجانية، الأساسية 15$,true,مجاني | أنيميشن | تعليمي | أطفال,صناعة فيديوهات الرسوم المتحركة والكرتون بضغطة زر.
tubebuddy,TubeBuddy,إنتاجية وأعمال,tool,خطة مجانية والاحترافي 4.90$,true,مجاني | يوتيوب | تحليل | SEO,السكين السويسري لأصحاب قنوات اليوتيوب والنمو السريع.
bhuman,BHuman,صوت وفيديو,website,يبدأ من 39$,true,فيديو | مبيعات | استنساخ وجه | تسويق,إرسال آلاف الفيديوهات المخصصة بالاسم لكل عميل.
quillbot,Quillbot,كتابة وتسويق,website,خطة مجانية والمدفوع 9$,true,مجاني | إعادة صياغة | تلخيص مقالات | طلاب,عملاق إعادة الصياغة والتلخيص المجاني.
pika,Pika Labs,صوت وفيديو,website,خطة مجانية بسيطة، المدفوع يبدأ 10$,false,توليد فيديو | أنيميشن | رسوم 3D,محرك تصميم فيديو 3D وأنيميشن مبهر وسريع.
vondy,Vondy,إنتاجية وأعمال,website,يبدأ من 19$,true,تطبيقات شاملة | روبوتات جاهزة | مهام يومية,منصة تجمع مئات أدوات الذكاء الاصطناعي في واجهة واحدة.
tavily,Tavily,برمجة ومواقع,website,مجاني حتى 1000 عملية شهرياً,false,مجاني | بحث APIs | برمجة | وكلاء ذكاء,محرك بحث بالذكاء الاصطناعي مخصص للمطورين.
gamma_app,Gamma.app,إنتاجية وأعمال,app,خطة مجانية، والمحترف 15$,true,مجاني | بوربوينت | العروض | مستندات,عروض تقديمية (Presentations) مصممة باحترافية في ثوان.
dante_chatbot,Dante Chatbot,دعم العملاء,website,مجاني للبدء، 10$ للمتقدم,true,مجاني | شات بوت | دعم فني | مواقع,دعم فني عبر بوت محادثة لمتجرك وموقعك بدقائق.
sora,OpenAI Sora,صوت وفيديو,tool,غير متاح للعموم حالياً,false,توليد فيديو | سينمائي | إصدار تجريبي,المشروع المرتقب القادر على توليد فيديو سينمائي مذهل.
gong,Gong AI,إنتاجية وأعمال,website,أسعار الشركات المخصصة,false,مبيعات | شركات | تحليل البيانات | صوت,تحليل أداء فريق المبيعات والمكالمات في شركتك.
phind,Phind,برمجة ومواقع,website,خطة مجانية واسعة، المدفوع 20$,false,مجاني | بحث مبرمجين | مكتبات | تصحيح كود,محرك بحث مخصص للمبرمجين يعطيك الإجابة المباشرة بأكواد.
fathom,Fathom Notetaker,مساعدات ذكية,app,مجاني الأساسي، النسخة المؤسسية مدفوعة,true,مجاني للأبد | اجتماعات | مكالمات Zoom | فيديو,مساعد تسجيل وتلخيص مجاني للاجتماعات بنقرة واحدة.
blackbox,Blackbox AI,برمجة ومواقع,tool,خطة مجانية والمدفوع يبدأ 13$,false,مجاني | أكواد من صور | مطورين | بحث,أداة نسخ واستخراج الأكواد من الفيديوهات والصور بضغطة.
opuspro,Opus Pro,صوت وفيديو,website,مجاني جزئيا، 19$ للاحترافي,true,فيديو | ريلز | يوتيوب | قصص مقتطعة,الخبير الأول في اجتزاء وتطوير الفيديوهات القصيرة للسوشيال.
dall_e,OpenAI DALL-E 3,تصميم وجرافيك,tool,مجاني عبر نظام Copilot ومدمج باشتراك ChatGPT Plus,false,توليد صور | دمج كلمات | رسم احترافي,محرك توليد الصور الشهير المدمج داخل ChatGPT.
hey,HeyEmail,إنتاجية وأعمال,app,99$ سنوياً,false,إيميل | تنظيم | أعمال,بريد إلكتروني يقرأ ويفهم الرسائل المزعجة ويرتبها بذكاء.
vidstudio,Studio D-ID,صوت وفيديو,website,مجاني للبدء، النسخة الكاملة تبدأ من 5.99$,true,مجاني | تحريك صور | وجوه تفاعلية | تقديم,إعطاء الصور الثابتة روحا عبر تحريك الشفاه وتوليد الصوت.
tome_present,Tome App,إنتاجية وأعمال,app,باقات شهرية مع خطة مجانية للبدء,true,مجاني | عروض، بوربوينت | قصص إلكترونية,أسرع طريقة لبناء عروض تقنع المستثمرين وعملائك بالذكاء.
adcopy,AdCopy,كتابة وتسويق,website,يبدأ من 29$,true,إعلانات | تسويق | كتابة استجابة سريعة,توليد نصوص إعلانات جذابة مخصصة لعوائد إعلانات ضخمة.
elephas,Elephas,مساعدات ذكية,app,يبدأ 4.99$ للاشتراك الخاص,true,ماك بوك | أبل | مساعد نظام | كتابة,مساعد ذكي يرافقك في كل برامج وتطبيقات الماك (Mac).
ai_lawyer,AI Lawyer,دعم العملاء,website,يبدأ 19$,true,دعم قانوني | مراجعة عقود | شات قوانين,مستشارك القانوني السريع لإعطاء نصائح ومراجعة العقود.
soundraw,Soundraw,صوت وفيديو,website,استماع مجاني ودفع للاستخدام,true,مجاني | موسيقى | يوتيوب | خالية الحقوق,تأليف مقاطع موسيقية فريدة لا تخالف حقوق الملكية.
murf_studio,Murf Studio,صوت وفيديو,website,يبدأ من 29$,true,استوديو | أصوات | قنوات يوتيوب,صناعة تعليق صوتي منزلي احترافي بمستوى قنوات الأخبار.
vidyo_ai,Vidyo.ai,صوت وفيديو,website,خطة مجانية 75 دقيقة، الاحترافي 29$,true,مجاني | ريلز | تيك توك | بودكاست,صناعة محتوى قصير ورائع من مقاطع الفيديو الطويلة.
postel,Postello,كتابة وتسويق,website,يبدأ 14$,true,سوشيال ميديا | نشر | إدارة منصات,توليد ونشر آلي لمنشورات صفحات السوشيال ميديا.
anyword,Anyword,كتابة وتسويق,website,يبدأ من 39$,true,تسويق الإعلانات | تنبؤ الاستجابة,كتابة وتنبؤ بأداء رسائلك التسويقية لزيادة النقرات.
fliki_ai,Fliki AI,صوت وفيديو,website,خطة مجانية، والاحترافي 21$,true,تحويل نصوص | يوتيوب | تعليق,أسلس طريقة لتحويل المدوانات لمقاطع فيديو مربحة.
spinrewriter,Spin Rewriter,تحسين محركات البحث,tool,77$ سنوياً,true,إعادة صياغة | SEO | مواقع,توليد مئات المقالات الحصرية من مقال واحد للـ SEO.
chat_simple,Chat Simple,دعم العملاء,website,19$ شهرياً,true,دعم فني | محادثة | وكيل,وكيل افتراضي ذكي لموقعك يجيب ويتفاعل بذكاء.
fireflies,Fireflies.ai,إنتاجية وأعمال,tool,مجاني للبدء، والمدفوع 10$,true,تفريغ | اجتماعات | مكتب,مساعد صوتي ذكي يكتب محاضر كل اجتماعاتك بدقة.
browse_ai,Browse AI,برمجة ومواقع,website,39$ شهرياً,true,سحب بيانات | أتمتة | مراقبة,تصفح وسحب البيانات من أي موقع إنترنت بدون كود.
11_labs,11Labs,صوت وفيديو,website,مجاني للبدء,false,استنساخ | تعليق,مجتمع الأصوات الاحترافية والتقنية الأولى عالمياً.
synthesia_ai,Synthesia AI,صوت وفيديو,website,22$ شهرياً,true,شخصيات بشرية,فيديوهات بشخصيات واقعية للشركات.
canva_magic,Canva Magic,تصميم وجرافيك,app,مجاني ومدمج,false,إزالة الخلفية | توليد صور,أدوات التصميم السحرية المدمجة في كانفا.
koala_ai,Koala AI,كتابة وتسويق,website,يبدأ من 9$,true,SEO | مقالات طويلة | ووردبريس,كتابة مقالات جاهزة لـ SEO بضغطة زر لنشرها مباشرة.
humbot,Humbot,كتابة وتسويق,tool,مجاني للبدء,true,هروب من الكشف | أنسنة النصوص | إعادة صياغة,إعادة صياغة نصوص الذكاء الاصطناعي لتبدو بشرية لتخطي الفحوصات.
typeform_ai,Typeform AI,إنتاجية وأعمال,app,يبدأ من 25$,true,استبيانات | نماذج | جمع بيانات,إنشاء استبيانات تفاعلية وذكية لجمع البيانات.
